# Filtered for technologies not requiring intermittent backup and extrapolated using an exponential function
sector.name,subsector.name,technology,year,minicam.energy.input,efficiency
electricity,geothermal,geothermal,1975,geothermal,0.1
electricity,geothermal,geothermal,1990,geothermal,0.1
electricity,geothermal,geothermal,2005,geothermal,0.1
electricity,geothermal,geothermal,2010,geothermal,0.1
electricity,geothermal,geothermal,2015,geothermal,0.1
electricity,geothermal,geothermal,2020,geothermal,0.1
electricity,geothermal,geothermal,2025,geothermal,0.1
electricity,geothermal,geothermal,2030,geothermal,0.1
electricity,geothermal,geothermal,2035,geothermal,0.1
electricity,geothermal,geothermal,2040,geothermal,0.1
electricity,geothermal,geothermal,2045,geothermal,0.1
electricity,geothermal,geothermal,2050,geothermal,0.1
electricity,geothermal,geothermal,2055,geothermal,0.1
electricity,geothermal,geothermal,2060,geothermal,0.1
electricity,geothermal,geothermal,2065,geothermal,0.1
electricity,geothermal,geothermal,2070,geothermal,0.1
electricity,geothermal,geothermal,2075,geothermal,0.1
electricity,geothermal,geothermal,2080,geothermal,0.1
electricity,geothermal,geothermal,2085,geothermal,0.1
electricity,geothermal,geothermal,2090,geothermal,0.1
electricity,geothermal,geothermal,2095,geothermal,0.1
electricity,geothermal,geothermal,2100,geothermal,0.1
electricity,nuclear,Gen_III,1975,nuclearFuelGenIII,0.333
electricity,nuclear,Gen_III,1990,nuclearFuelGenIII,0.333
electricity,nuclear,Gen_III,2005,nuclearFuelGenIII,0.333
electricity,nuclear,Gen_III,2010,nuclearFuelGenIII,0.333
electricity,nuclear,Gen_III,2015,nuclearFuelGenIII,0.333
electricity,nuclear,Gen_III,2020,nuclearFuelGenIII,0.333
electricity,nuclear,Gen_III,2025,nuclearFuelGenIII,0.333
electricity,nuclear,Gen_III,2030,nuclearFuelGenIII,0.333
electricity,nuclear,Gen_III,2035,nuclearFuelGenIII,0.333
electricity,nuclear,Gen_III,2040,nuclearFuelGenIII,0.333
electricity,nuclear,Gen_III,2045,nuclearFuelGenIII,0.333
electricity,nuclear,Gen_III,2050,nuclearFuelGenIII,0.333
electricity,nuclear,Gen_III,2055,nuclearFuelGenIII,0.333
electricity,nuclear,Gen_III,2060,nuclearFuelGenIII,0.333
electricity,nuclear,Gen_III,2065,nuclearFuelGenIII,0.333
electricity,nuclear,Gen_III,2070,nuclearFuelGenIII,0.333
electricity,nuclear,Gen_III,2075,nuclearFuelGenIII,0.333
electricity,nuclear,Gen_III,2080,nuclearFuelGenIII,0.333
electricity,nuclear,Gen_III,2085,nuclearFuelGenIII,0.333
electricity,nuclear,Gen_III,2090,nuclearFuelGenIII,0.333
electricity,nuclear,Gen_III,2095,nuclearFuelGenIII,0.333
electricity,nuclear,Gen_III,2100,nuclearFuelGenIII,0.333
electricity,nuclear,Gen_II_LWR,1975,nuclearFuelGenII,0.333
electricity,nuclear,Gen_II_LWR,1990,nuclearFuelGenII,0.333
